date,IC,TimingIC,top_5%_return,bottom_5%_return,top_10%_return,bottom_10%_return,top_15%_return,bottom_15%_return,top_20%_return,bottom_20%_return,top_25%_return,bottom_25%_return,top_30%_return,bottom_30%_return,top_20%_selection_rank_efficiency,top_20%_return_capture_rank_efficiency
2021-07-09,0.0338290782017557,0.004074732749420697,-0.007625850410569086,-0.024903624942080368,-3.2711729480265906e-05,-0.021071740576253096,0.0017002466356314905,-0.01007817242422066,0.007985552249804963,-0.0029029954364927944,0.007248359754335862,-0.0031644123673064462,0.00531401173435832,-0.0007308227801137971,0.21299029945170814,0.19605559437844552
2021-07-12,0.06409819088949116,0.060685767763381915,-0.01194733503524967,-0.006492914961113567,-0.0030796960068420164,-0.026433452316851597,-0.003131887204482742,-0.0124790339516334,-0.0027009766386193934,-0.011749572239559709,-0.003654383676395158,-0.011500777287450454,-0.000352774021875674,-0.009967134807221726,0.2059291277576153,0.20466888222420362
2021-07-13,0.015665001543909485,-0.009233115797073645,0.0002689560719031192,0.016883017992292648,0.0032701346910730678,0.0032291386118285304,0.0030149687582069927,0.009504477889161561,0.0052720335284540286,0.010749268380331063,0.004078849289686544,0.00945022920340729,0.003702678044445821,0.012196780915580883,0.1977910073633088,0.19544856413035064
2021-07-14,0.07288472895345115,0.05089847313515991,-0.0018951180292303515,0.021978163780961128,0.0015262304285952432,0.012113616725584458,0.009033532944401653,0.01574765343176816,0.011068210908948918,0.012919774329296935,0.013850471342291134,0.01158410178642479,0.01583581624202255,0.011357196122086995,0.21202451927113947,0.20497625522587978
2021-07-15,-0.038385793810362605,-0.038975309095599986,-0.020606943341930046,0.009327199718512232,-0.00457671198374108,0.00496814524042176,-0.003165824938468044,0.011981685220625166,-0.0047146076076110925,0.011522915596894641,-0.0035804615907967267,0.015170287751614239,-0.0037889876704575703,0.013886953955568234,0.19711163153786104,0.17836329601243245
2021-07-16,-0.09240119907298991,-0.14549592471005277,-0.04302909508065171,0.02340393343948004,-0.03190889204105868,0.016456026800761046,-0.026037584468855852,0.008464517535827592,-0.027847102757547492,-0.0002892227716618856,-0.0172250139828799,-0.0003540506006379438,-0.019495554307705606,0.0018643519231100695,0.182521324273529,0.17736100867488497
2021-07-19,-0.033303445384558254,-0.051865225541617994,-0.06367222262215409,-0.03195717330903914,-0.05082740196268624,-0.031093168026584,-0.042340400974640806,-0.02583029439085011,-0.044692084858689266,-0.026723726838154035,-0.04184693547568616,-0.0257203132939648,-0.04121195108595023,-0.026286581970085737,0.18064746914684315,0.18503590795837607
2021-07-20,0.04532191205518369,0.029499763991720086,-0.07519572501012046,-0.05240261120308072,-0.05995779845386604,-0.05334764223158526,-0.0551926119844208,-0.05654172445324812,-0.051602920585910955,-0.05372346194686358,-0.05258568585485852,-0.054757378901281156,-0.04804679938673397,-0.05572370721173217,0.19612412132510001,0.21055703802535022
2021-07-21,-0.06148781119747961,-0.10983798785911834,-0.06827153796032862,-0.028306867778329328,-0.05934648095707786,-0.039895354759193764,-0.05102483175574098,-0.031702003931503624,-0.04983044581694609,-0.03320376528493353,-0.0462307770222288,-0.03387536100772245,-0.046195313250481235,-0.036013066957207386,0.18553216503177927,0.17886236452504073
2021-07-22,0.0026703048511922704,-0.08968138870946114,-0.03339334457449347,-0.008023913674793376,-0.04070514752780587,-0.01778096892554912,-0.03299774601822462,-0.025142165978401618,-0.030488774835197505,-0.025683604997529277,-0.030788528804093603,-0.030870059195437137,-0.03173166804820055,-0.032716936348453796,0.20316208713843184,0.18685018685018684
